config_id,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,ess_floor,cond_ref,gamma_ess_scale,gamma_cond_scale,pooled_gap_mean,pooled_p_value,pooled_test,pooled_n_pairs,stability_mse_mean,pooled_mse_mean,holm_adjusted_p,stability_beats_pooled,holm_significant
cfg_0060,0.1,0.0,0.1,0.0001,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.004323956713982595,0.015005792546364369,paired_wilcoxon,25,0.08154550170538202,0.08586945841936461,1.0,True,False
cfg_0102,0.1,0.1,0.0,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.004316081999263654,0.816741682205704,paired_wilcoxon,25,0.08694945840431416,0.0912655404035778,1.0,True,False
cfg_0103,0.1,0.1,0.0,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.004316081999263654,0.816741682205704,paired_wilcoxon,25,0.08694945840431416,0.0912655404035778,1.0,True,False
cfg_0118,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.004316065342980183,0.816741682205704,paired_wilcoxon,25,0.08694947481409748,0.09126554015707768,1.0,True,False
cfg_0119,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.004316065342980183,0.816741682205704,paired_wilcoxon,25,0.08694947481409748,0.09126554015707768,1.0,True,False
cfg_0004,0.1,0.0,0.0,1e-05,gaussian_diag_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.004307683682682869,0.26321664708775816,paired_wilcoxon,25,0.09039422288151501,0.09470190656419789,1.0,True,False
cfg_0005,0.1,0.0,0.0,1e-05,gaussian_diag_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.004307683682682869,0.26321664708775816,paired_wilcoxon,25,0.09039422288151501,0.09470190656419789,1.0,True,False
cfg_0020,0.1,0.0,0.0,0.0001,gaussian_diag_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.004307660466208278,0.26321664708775816,paired_wilcoxon,25,0.09039424570377282,0.0947019061699811,1.0,True,False
cfg_0021,0.1,0.0,0.0,0.0001,gaussian_diag_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.004307660466208278,0.26321664708775816,paired_wilcoxon,25,0.09039424570377282,0.0947019061699811,1.0,True,False
cfg_0008,0.1,0.0,0.0,1e-05,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.004277259398356708,0.017171300013161073,paired_wilcoxon,25,0.08143964538135527,0.08571690477971197,1.0,True,False
