setting,seed,method,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,target_mse,ess,condition_number,ratio_uncertainty,weight_second_moment,target_excess_risk_vs_oracle,regret_gap_to_oracle_selected_source,gamma_effective
B,23,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.10903477105469747,1200.0,41.81475414240007,0.061262039645041115,0.9999999997031735,0.0,0.0,0.5373700556519125
B,47,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.13368609468961898,1171.500314963907,28.47585507871326,0.07630732507654918,1.0243275091967694,0.0,0.0,0.5266163262723311
B,47,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.14542925508417023,43.36607501739447,19.769055377657697,0.6317583012360916,27.671399807466695,0.011743160394551255,0.011743160394551255,0.5266163262723311
B,47,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.15115854982336013,55.42941046396414,19.169550522921213,2.338807811641991,21.649156827383177,0.017472455133741155,0.017472455133741155,0.5266163262723311
B,47,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.15115854982336013,55.42941046396414,19.169550522921213,2.338807811641991,21.649156827383177,0.017472455133741155,0.017472455133741155,0.5266163262723311
B,47,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.15223471534575622,562.3774229506859,11.381945953775142,3.6493866536430337,17.070386555659805,0.018548620656137244,0.018548620656137244,0.5266163262723311
B,47,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.1333977652218366,1199.999999999999,22.433324918777842,0.0,1.0,-0.00028832946778237223,-0.00028832946778237223,0.5266163262723311
B,47,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.16559393113119392,44.6516461832851,19.449221251490595,2.663496095846732,26.874709054701725,0.03190783644157494,0.03190783644157494,0.5266163262723311
B,47,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.13368609468961898,1171.500314963907,28.47585507871326,0.07630732507654918,1.0243275091967694,0.0,0.0,0.5266163262723311
B,89,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.1253328112633334,1200.0,48.63898207237229,0.052924695828207566,0.9999999997031735,0.0,0.0,0.5425335608067966
B,89,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.25512866318132854,41.04242483709124,19.247312475635397,1.426713674179924,29.2380385596338,0.12979585191799514,0.12979585191799514,0.5425335608067966
B,89,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.24749762293991134,44.68239170355906,24.08813008183669,1.817005495400363,26.8562168278078,0.12216481167657794,0.12216481167657794,0.5425335608067966
B,89,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.13924088806614618,69.51118902917787,20.487131837572477,1.054927763471615,17.2634077576384,0.01390807680281278,0.01390807680281278,0.5425335608067966
B,89,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.13500741923725593,516.3348869430564,9.384843300690797,3.052752008232013,18.59258446926823,0.009674607973922528,0.009674607973922528,0.5425335608067966
